content_score,post_date,post_id,post_status,post_type,primary_category,slug,wordpress_title
30,2020-11-21 04:46:00,1263,publish,post,38,why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house,"Why Africa Corporations Should Host Their Data in Carrier Neutral Data Centres, Not In House"
30,2020-12-21 07:32:56,3164,publish,post,38,challenges-in-data-centre-deployment-in-africa,Challenges in Data Centre Deployment in Africa
30,2020-12-21 09:40:21,3191,publish,post,38,how-governments-can-help-grow-the-digital-economy-in-africa,How Governments can Help Grow the Digital Economy in Africa
30,2020-12-21 09:51:07,3194,publish,post,38,why-carrier-neutral-colocation-data-centres-will-predominate-in-africa,Why Carrier Neutral Colocation Data Centres will Predominate in Africa
30,2020-12-21 09:53:45,3196,publish,post,38,broadband-the-most-effective-catalyst-for-development-in-emerging-markets,Broadband - The Most Effective Catalyst for Development in Emerging Markets
30,2020-12-21 09:55:54,3198,publish,post,38,connecting-the-unconnected-in-africa,Connecting the Unconnected (In Africa)
30,2021-01-22 09:15:34,3498,publish,post,39,africa-drivers-of-growth-2021,Africa - Drivers of growth - 2021
30,2021-03-04 08:00:43,3876,publish,post,39,african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2,African Infrastructure Investment Managers Acquires Majority Stake in Ghana-based Data Centre
30,2021-04-06 08:07:01,3968,publish,post,39,why-african-data-centres-need-to-use-renewable-energy,Why African Data Centres Need To Use Renewable Energy
30,2021-06-07 08:02:15,4007,publish,post,39,africas-digital-economy-the-post-mobile-wave,Africa’s Digital Economy – The Post Mobile Wave
30,2021-09-21 17:00:30,4022,publish,post,39,onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa,ONIX DC ACCRA -   The Only Climate Friendly Data Centre in West Africa
30,2022-11-17 15:00:19,4493,draft,post,39,,ONIX DC ACCRA -   The Only Climate Friendly Data Centre in West Africa
