article_id,article_url,legacy_media_url,expected_attachment_id,issue,fallback,manual_review_required
3876,/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
5678,/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
5694,/2023/03/08/colocation-data-centres/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
5938,/2023/03/23/senegal-the-next-singapore/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
5953,/2023/04/19/cold-aisle-containment-data-centre-cooling/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
5965,/2023/05/24/fire-suppression-data-centres/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
6347,/2023/06/20/uptime-power-backup-onix-data-centre/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
6437,/2023/08/02/solar-data-sustainable-solution/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
6601,/2023/09/26/resilience-data-centres-natural-disasters/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
6612,/2023/10/03/healthcare-colocation-data-centre/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
6774,/2023/10/31/elevating-government-data-management-colocation-services/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
6806,/2023/11/09/support-for-south-tongu-flood-relief/,,,3 inline media URLs not mapped,legacy url preserved in warnings,yes
6961,/2024/01/16/navigating-2024-data-centre-trends/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
7047,/2024/02/20/solar-power-data-centres-sustainable/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7142,/2024/03/18/digital-resilience-in-west-africa/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7330,/2024/04/03/onix-data-centres-partnership-glico-insurance/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
7413,/2024/04/24/different-industries-utilise-data-centres/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7526,/2024/05/07/data-centre-innovations-africa-adca-report/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7546,/2024/05/15/transparency-customer-awareness-data-hosting/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7668,/2024/06/11/data-centre-collaboration/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7677,/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
7817,/2024/07/09/harnessing-ai-renewable-energy/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
8165,/2024/11/19/why-onix-location-genius/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
8312,/2024/11/13/onix-data-centres-linx-ghana/,,,2 inline media URLs not mapped,legacy url preserved in warnings,yes
8508,/2024/12/17/santas-secret-data-centres/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
8522,/2025/01/08/5-it-resolutions/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
8616,/2025/01/23/revolutionising-innovation-africa-local-hosting/,,,1 inline media URLs not mapped,legacy url preserved in warnings,yes
