wordpress_id,old_url,payload_id,title,article_type,content_import_status,featured_image_status,inline_media_status,seo_status,url_status,warnings,manual_review
1263,/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,3,why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3164,/2020/12/21/challenges-in-data-centre-deployment-in-africa/,4,challenges-in-data-centre-deployment-in-africa,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3191,/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,5,how-governments-can-help-grow-the-digital-economy-in-africa,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3194,/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,6,why-carrier-neutral-colocation-data-centres-will-predominate-in-africa,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3196,/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,7,broadband-the-most-effective-catalyst-for-development-in-emerging-markets,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3198,/2020/12/21/connecting-the-unconnected-in-africa/,8,connecting-the-unconnected-in-africa,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3498,/2021/01/22/africa-drivers-of-growth-2021/,9,africa-drivers-of-growth-2021,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3876,/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,10,african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2,STANDARD_HTML,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
3968,/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,11,why-african-data-centres-need-to-use-renewable-energy,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
4007,/2021/06/07/africas-digital-economy-the-post-mobile-wave/,12,africas-digital-economy-the-post-mobile-wave,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
4022,/2021/09/21/onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa/,13,onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
4496,/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,14,onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
4519,/2022/11/29/afr-ix-onix-internet-data-partnership/,15,afr-ix-onix-internet-data-partnership,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
4544,/2022/12/20/onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification/,16,onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification,ELEMENTOR,success,mapped,mapped,mapped,preserved,Updated existing (idempotent),no
