slug,status,legacy_path,photo
leonardmckinlay,imported,/o-home/leonardmckinlay/,missing
bretttucker,imported,/o-home/bretttucker/,missing
michaelthompson,imported,/o-home/michaelthompson/,missing
serwaakankam,imported,/o-home/serwaakankam/,missing
edemscott,imported,/o-home/edemscott/,missing
kevinopata,imported,/o-home/kevinopata/,missing
stephenappiah,imported,/o-home/stephenappiah/,missing
samuelpolley,imported,/o-home/samuelpolley/,missing
mamadoukebe,imported,/o-home/mamadoukebe/,missing
baraawafall,imported,/o-home/senegal/baraawafall/,missing
paulrichards,imported,/o-home/paulrichards/,missing
eric-tenkorang,imported,/home/eric-tenkorang/,missing
razak-awudulai1,imported,/o-home/razak-awudulai1/,missing
samuel-osew-kwatia,imported,/o-home/samuel-osew-kwatia/,missing
razak-awudulai,imported,/o-home/razak-awudulai/,missing
