wordpress_attachment_id,legacy_url,expected_relative_path,actual_archive_path,filename,mime_type,alt_text,caption,master_asset,derivative_count,referenced_by_content,status,notes
13,https://onixdatacentres.com/wp-content/uploads/2021/10/AdobeStock_341274506_Preview.jpeg,2021/10/AdobeStock_341274506_Preview.jpeg,2021/10/AdobeStock_341274506_Preview.jpeg,AdobeStock_341274506_Preview.jpeg,,,,yes,3,no,UNUSED,not referenced by scoped content scan
18,https://onixdatacentres.com/wp-content/uploads/2021/10/onix-logo.png,2021/10/onix-logo.png,2021/10/onix-logo.png,onix-logo.png,,,,yes,6,no,UNUSED,not referenced by scoped content scan
19,https://onixdatacentres.com/wp-content/uploads/2021/10/cropped-onix-logo.png,2021/10/cropped-onix-logo.png,2021/10/cropped-onix-logo.png,cropped-onix-logo.png,,,,yes,7,no,UNUSED,not referenced by scoped content scan
20,https://onixdatacentres.com/wp-content/uploads/2021/10/cropped-cropped-onix-logo.png,2021/10/cropped-cropped-onix-logo.png,2021/10/cropped-cropped-onix-logo.png,cropped-cropped-onix-logo.png,,,,yes,6,no,UNUSED,not referenced by scoped content scan
49,https://onixdatacentres.com/wp-content/uploads/2021/10/AdobeStock_341274506_Preview-1.jpeg,2021/10/AdobeStock_341274506_Preview-1.jpeg,2021/10/AdobeStock_341274506_Preview-1.jpeg,AdobeStock_341274506_Preview-1.jpeg,,,,yes,3,no,UNUSED,not referenced by scoped content scan
156,https://onixdatacentres.com/wp-content/uploads/2021/10/business-black-office-businessman-man-laptop-coach-coaching-entrepreneur_t20_PJ2ZX7-scaled.jpg,2021/10/business-black-office-businessman-man-laptop-coach-coaching-entrepreneur_t20_PJ2ZX7-scaled.jpg,2021/10/business-black-office-businessman-man-laptop-coach-coaching-entrepreneur_t20_PJ2ZX7-scaled.jpg,business-black-office-businessman-man-laptop-coach-coaching-entrepreneur_t20_PJ2ZX7-scaled.jpg,,,,no,6,no,UNUSED,not referenced by scoped content scan
236,https://onixdatacentres.com/wp-content/uploads/2021/10/onix_red.png,2021/10/onix_red.png,2021/10/onix_red.png,onix_red.png,,,,yes,6,no,UNUSED,not referenced by scoped content scan
313,https://onixdatacentres.com/wp-content/uploads/2021/10/data-center-server-cloud-technology-network-business-digital-system-line-database-service-security_t20_E0e9P4-scaled.jpg,2021/10/data-center-server-cloud-technology-network-business-digital-system-line-database-service-security_t20_E0e9P4-scaled.jpg,2021/10/data-center-server-cloud-technology-network-business-digital-system-line-database-service-security_t20_E0e9P4-scaled.jpg,data-center-server-cloud-technology-network-business-digital-system-line-database-service-security_t20_E0e9P4-scaled.jpg,,,Data center drawing Business technology concept Digital design Futuristic information Server room 3d render,no,6,no,UNUSED,not referenced by scoped content scan
333,https://onixdatacentres.com/wp-content/uploads/2021/10/image-removebg-preview-2.png,2021/10/image-removebg-preview-2.png,2021/10/image-removebg-preview-2.png,image-removebg-preview-2.png,,,,yes,2,no,UNUSED,not referenced by scoped content scan
449,https://onixdatacentres.com/wp-content/uploads/2021/10/SIEMENS.jpg,2021/10/SIEMENS.jpg,2021/10/SIEMENS.jpg,SIEMENS.jpg,,,,yes,1,yes,FOUND,
450,https://onixdatacentres.com/wp-content/uploads/2021/10/KOHLER.jpeg,2021/10/KOHLER.jpeg,2021/10/KOHLER.jpeg,KOHLER.jpeg,,,,yes,1,yes,FOUND,
451,https://onixdatacentres.com/wp-content/uploads/2021/10/Schneider.jpeg,2021/10/Schneider.jpeg,2021/10/Schneider.jpeg,Schneider.jpeg,,,,yes,1,yes,FOUND,
452,https://onixdatacentres.com/wp-content/uploads/2021/10/EATON.jpeg,2021/10/EATON.jpeg,2021/10/EATON.jpeg,EATON.jpeg,,,,yes,1,yes,FOUND,
453,https://onixdatacentres.com/wp-content/uploads/2021/10/DAIKIN.jpeg,2021/10/DAIKIN.jpeg,2021/10/DAIKIN.jpeg,DAIKIN.jpeg,,,,yes,1,yes,FOUND,
454,https://onixdatacentres.com/wp-content/uploads/2021/10/CKR.jpeg,2021/10/CKR.jpeg,2021/10/CKR.jpeg,CKR.jpeg,,,,yes,1,yes,FOUND,
455,https://onixdatacentres.com/wp-content/uploads/2021/10/AIIM-e1651824136624.png,2021/10/AIIM-e1651824136624.png,2021/10/AIIM-e1651824136624.png,AIIM-e1651824136624.png,,,,yes,0,no,UNUSED,not referenced by scoped content scan
456,https://onixdatacentres.com/wp-content/uploads/2021/10/Vertiv.jpeg,2021/10/Vertiv.jpeg,2021/10/Vertiv.jpeg,Vertiv.jpeg,,,,yes,1,yes,FOUND,
457,https://onixdatacentres.com/wp-content/uploads/2021/10/Uptime.jpeg,2021/10/Uptime.jpeg,2021/10/Uptime.jpeg,Uptime.jpeg,,,,yes,1,yes,FOUND,
533,https://onixdatacentres.com/wp-content/uploads/2021/10/modern-essentials-798265-unsplash.jpg,2021/10/modern-essentials-798265-unsplash.jpg,2021/10/modern-essentials-798265-unsplash.jpg,modern-essentials-798265-unsplash.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
534,https://onixdatacentres.com/wp-content/uploads/2021/10/modern-essentials-792821-unsplash.jpg,2021/10/modern-essentials-792821-unsplash.jpg,2021/10/modern-essentials-792821-unsplash.jpg,modern-essentials-792821-unsplash.jpg,,,,yes,5,no,UNUSED,not referenced by scoped content scan
535,https://onixdatacentres.com/wp-content/uploads/2021/10/modern-essentials-1064966-unsplash.jpg,2021/10/modern-essentials-1064966-unsplash.jpg,2021/10/modern-essentials-1064966-unsplash.jpg,modern-essentials-1064966-unsplash.jpg,,,,yes,5,no,UNUSED,not referenced by scoped content scan
651,https://onixdatacentres.com/wp-content/uploads/2021/10/austin-johnson-275715-unsplash.jpg,2021/10/austin-johnson-275715-unsplash.jpg,2021/10/austin-johnson-275715-unsplash.jpg,austin-johnson-275715-unsplash.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
652,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember.jpg,2021/10/zz-teammember.jpg,2021/10/zz-teammember.jpg,zz-teammember.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
653,https://onixdatacentres.com/wp-content/uploads/2021/10/placeholder.png,2021/10/placeholder.png,2021/10/placeholder.png,placeholder.png,,,,yes,4,no,UNUSED,not referenced by scoped content scan
654,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember2.jpg,2021/10/zz-teammember2.jpg,2021/10/zz-teammember2.jpg,zz-teammember2.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
655,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember-1.jpg,2021/10/zz-teammember-1.jpg,2021/10/zz-teammember-1.jpg,zz-teammember-1.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
656,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember4.jpg,2021/10/zz-teammember4.jpg,2021/10/zz-teammember4.jpg,zz-teammember4.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
657,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember2-1.jpg,2021/10/zz-teammember2-1.jpg,2021/10/zz-teammember2-1.jpg,zz-teammember2-1.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
658,https://onixdatacentres.com/wp-content/uploads/2021/10/zz-teammember3.jpg,2021/10/zz-teammember3.jpg,2021/10/zz-teammember3.jpg,zz-teammember3.jpg,,,,yes,4,no,UNUSED,not referenced by scoped content scan
