old_url,old_path,content_type,proposed_new_path,action,status,notes
https://onixdatacentres.com/,/,page,/,preserve,pending,
https://onixdatacentres.com/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,article,/2020/11/21/why-africa-corporations-should-host-their-data-in-carrier-neutral-data-centres-not-in-house/,preserve,pending,
https://onixdatacentres.com/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,article,/2020/12/21/broadband-the-most-effective-catalyst-for-development-in-emerging-markets/,preserve,pending,
https://onixdatacentres.com/2020/12/21/challenges-in-data-centre-deployment-in-africa/,/2020/12/21/challenges-in-data-centre-deployment-in-africa/,article,/2020/12/21/challenges-in-data-centre-deployment-in-africa/,preserve,pending,
https://onixdatacentres.com/2020/12/21/connecting-the-unconnected-in-africa/,/2020/12/21/connecting-the-unconnected-in-africa/,article,/2020/12/21/connecting-the-unconnected-in-africa/,preserve,pending,
https://onixdatacentres.com/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,article,/2020/12/21/how-governments-can-help-grow-the-digital-economy-in-africa/,preserve,pending,
https://onixdatacentres.com/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,article,/2020/12/21/why-carrier-neutral-colocation-data-centres-will-predominate-in-africa/,preserve,pending,
https://onixdatacentres.com/2021/01/22/africa-drivers-of-growth-2021/,/2021/01/22/africa-drivers-of-growth-2021/,article,/2021/01/22/africa-drivers-of-growth-2021/,preserve,pending,
https://onixdatacentres.com/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,article,/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,preserve,pending,
https://onixdatacentres.com/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,article,/2021/04/06/why-african-data-centres-need-to-use-renewable-energy/,preserve,pending,
https://onixdatacentres.com/2021/06/07/africas-digital-economy-the-post-mobile-wave/,/2021/06/07/africas-digital-economy-the-post-mobile-wave/,article,/2021/06/07/africas-digital-economy-the-post-mobile-wave/,preserve,pending,
https://onixdatacentres.com/2021/09/21/onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa/,/2021/09/21/onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa/,article,/2021/09/21/onix-dc-accra-the-only-climate-friendly-data-centre-in-west-africa/,preserve,pending,
https://onixdatacentres.com/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,article,/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,preserve,pending,
https://onixdatacentres.com/2022/11/29/afr-ix-onix-internet-data-partnership/,/2022/11/29/afr-ix-onix-internet-data-partnership/,article,/2022/11/29/afr-ix-onix-internet-data-partnership/,preserve,pending,
https://onixdatacentres.com/2022/12/20/onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification/,/2022/12/20/onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification/,article,/2022/12/20/onix-data-centre-accra-achieves-iso-27001-and-iso-9001-certification/,preserve,pending,
https://onixdatacentres.com/2023/02/17/onix-launch-dakar/,/2023/02/17/onix-launch-dakar/,article,/2023/02/17/onix-launch-dakar/,preserve,pending,
https://onixdatacentres.com/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,article,/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,preserve,pending,
https://onixdatacentres.com/2023/03/08/colocation-data-centres/,/2023/03/08/colocation-data-centres/,article,/2023/03/08/colocation-data-centres/,preserve,pending,
https://onixdatacentres.com/2023/03/23/senegal-the-next-singapore/,/2023/03/23/senegal-the-next-singapore/,article,/2023/03/23/senegal-the-next-singapore/,preserve,pending,
https://onixdatacentres.com/2023/04/19/cold-aisle-containment-data-centre-cooling/,/2023/04/19/cold-aisle-containment-data-centre-cooling/,article,/2023/04/19/cold-aisle-containment-data-centre-cooling/,preserve,pending,
https://onixdatacentres.com/2023/05/09/protecting-your-data-the-importance-of-data-security-for-businesses-and-institutions/,/2023/05/09/protecting-your-data-the-importance-of-data-security-for-businesses-and-institutions/,article,/2023/05/09/protecting-your-data-the-importance-of-data-security-for-businesses-and-institutions/,preserve,pending,
https://onixdatacentres.com/2023/05/11/tier-3-facility-in-dakar-2023-completion/,/2023/05/11/tier-3-facility-in-dakar-2023-completion/,article,/2023/05/11/tier-3-facility-in-dakar-2023-completion/,preserve,pending,
https://onixdatacentres.com/2023/05/24/fire-suppression-data-centres/,/2023/05/24/fire-suppression-data-centres/,article,/2023/05/24/fire-suppression-data-centres/,preserve,pending,
https://onixdatacentres.com/2023/06/20/uptime-power-backup-onix-data-centre/,/2023/06/20/uptime-power-backup-onix-data-centre/,article,/2023/06/20/uptime-power-backup-onix-data-centre/,preserve,pending,
https://onixdatacentres.com/2023/08/02/solar-data-sustainable-solution/,/2023/08/02/solar-data-sustainable-solution/,article,/2023/08/02/solar-data-sustainable-solution/,preserve,pending,
https://onixdatacentres.com/2023/08/16/the-role-of-data-centres-in-smart-cities-the-future-of-urban-living-in-africa/,/2023/08/16/the-role-of-data-centres-in-smart-cities-the-future-of-urban-living-in-africa/,article,/2023/08/16/the-role-of-data-centres-in-smart-cities-the-future-of-urban-living-in-africa/,preserve,pending,
https://onixdatacentres.com/2023/09/12/strategic-network-peering-a-beginners-guide/,/2023/09/12/strategic-network-peering-a-beginners-guide/,article,/2023/09/12/strategic-network-peering-a-beginners-guide/,preserve,pending,
https://onixdatacentres.com/2023/09/26/resilience-data-centres-natural-disasters/,/2023/09/26/resilience-data-centres-natural-disasters/,article,/2023/09/26/resilience-data-centres-natural-disasters/,preserve,pending,
https://onixdatacentres.com/2023/10/03/healthcare-colocation-data-centre/,/2023/10/03/healthcare-colocation-data-centre/,article,/2023/10/03/healthcare-colocation-data-centre/,preserve,pending,
https://onixdatacentres.com/2023/10/31/elevating-government-data-management-colocation-services/,/2023/10/31/elevating-government-data-management-colocation-services/,article,/2023/10/31/elevating-government-data-management-colocation-services/,preserve,pending,
https://onixdatacentres.com/2023/11/09/support-for-south-tongu-flood-relief/,/2023/11/09/support-for-south-tongu-flood-relief/,article,/2023/11/09/support-for-south-tongu-flood-relief/,preserve,pending,
https://onixdatacentres.com/2023/11/21/bluespace-financial-cloud-onix-data-centre/,/2023/11/21/bluespace-financial-cloud-onix-data-centre/,article,/2023/11/21/bluespace-financial-cloud-onix-data-centre/,preserve,pending,
https://onixdatacentres.com/2023/12/12/africas-data-centre-revolution/,/2023/12/12/africas-data-centre-revolution/,article,/2023/12/12/africas-data-centre-revolution/,preserve,pending,
https://onixdatacentres.com/2024/01/16/navigating-2024-data-centre-trends/,/2024/01/16/navigating-2024-data-centre-trends/,article,/2024/01/16/navigating-2024-data-centre-trends/,preserve,pending,
https://onixdatacentres.com/2024/01/23/onix-growth-innovation-leadership-transition/,/2024/01/23/onix-growth-innovation-leadership-transition/,article,/2024/01/23/onix-growth-innovation-leadership-transition/,preserve,pending,
https://onixdatacentres.com/2024/02/20/solar-power-data-centres-sustainable/,/2024/02/20/solar-power-data-centres-sustainable/,article,/2024/02/20/solar-power-data-centres-sustainable/,preserve,pending,
https://onixdatacentres.com/2024/03/07/edge-computing-in-ghana/,/2024/03/07/edge-computing-in-ghana/,article,/2024/03/07/edge-computing-in-ghana/,preserve,pending,
https://onixdatacentres.com/2024/03/18/digital-resilience-in-west-africa/,/2024/03/18/digital-resilience-in-west-africa/,article,/2024/03/18/digital-resilience-in-west-africa/,preserve,pending,
https://onixdatacentres.com/2024/03/26/onix-introduces-cloud-computing-ghana/,/2024/03/26/onix-introduces-cloud-computing-ghana/,article,/2024/03/26/onix-introduces-cloud-computing-ghana/,preserve,pending,
https://onixdatacentres.com/2024/04/03/onix-data-centres-partnership-glico-insurance/,/2024/04/03/onix-data-centres-partnership-glico-insurance/,article,/2024/04/03/onix-data-centres-partnership-glico-insurance/,preserve,pending,
https://onixdatacentres.com/2024/04/24/different-industries-utilise-data-centres/,/2024/04/24/different-industries-utilise-data-centres/,article,/2024/04/24/different-industries-utilise-data-centres/,preserve,pending,
https://onixdatacentres.com/2024/05/07/data-centre-innovations-africa-adca-report/,/2024/05/07/data-centre-innovations-africa-adca-report/,article,/2024/05/07/data-centre-innovations-africa-adca-report/,preserve,pending,
https://onixdatacentres.com/2024/05/15/transparency-customer-awareness-data-hosting/,/2024/05/15/transparency-customer-awareness-data-hosting/,article,/2024/05/15/transparency-customer-awareness-data-hosting/,preserve,pending,
https://onixdatacentres.com/2024/05/28/global-connectivity/,/2024/05/28/global-connectivity/,article,/2024/05/28/global-connectivity/,preserve,pending,
https://onixdatacentres.com/2024/06/11/data-centre-collaboration/,/2024/06/11/data-centre-collaboration/,article,/2024/06/11/data-centre-collaboration/,preserve,pending,
https://onixdatacentres.com/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,article,/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,preserve,pending,
https://onixdatacentres.com/2024/07/09/harnessing-ai-renewable-energy/,/2024/07/09/harnessing-ai-renewable-energy/,article,/2024/07/09/harnessing-ai-renewable-energy/,preserve,pending,
https://onixdatacentres.com/2024/07/23/enhancing-resilience-security-it-outages/,/2024/07/23/enhancing-resilience-security-it-outages/,article,/2024/07/23/enhancing-resilience-security-it-outages/,preserve,pending,
https://onixdatacentres.com/2024/10/15/data-centres-healthcare-africa/,/2024/10/15/data-centres-healthcare-africa/,article,/2024/10/15/data-centres-healthcare-africa/,preserve,pending,
https://onixdatacentres.com/2024/10/29/empowering-digital-transformation-africa-data-centres/,/2024/10/29/empowering-digital-transformation-africa-data-centres/,article,/2024/10/29/empowering-digital-transformation-africa-data-centres/,preserve,pending,
https://onixdatacentres.com/2024/11/13/onix-data-centres-linx-ghana/,/2024/11/13/onix-data-centres-linx-ghana/,article,/2024/11/13/onix-data-centres-linx-ghana/,preserve,pending,
https://onixdatacentres.com/2024/11/19/why-onix-location-genius/,/2024/11/19/why-onix-location-genius/,article,/2024/11/19/why-onix-location-genius/,preserve,pending,
https://onixdatacentres.com/2024/12/03/advantages-tier-iv-data-centre/,/2024/12/03/advantages-tier-iv-data-centre/,article,/2024/12/03/advantages-tier-iv-data-centre/,preserve,pending,
https://onixdatacentres.com/2024/12/17/santas-secret-data-centres/,/2024/12/17/santas-secret-data-centres/,article,/2024/12/17/santas-secret-data-centres/,preserve,pending,
https://onixdatacentres.com/2025/01/08/5-it-resolutions/,/2025/01/08/5-it-resolutions/,article,/2025/01/08/5-it-resolutions/,preserve,pending,
https://onixdatacentres.com/2025/01/23/revolutionising-innovation-africa-local-hosting/,/2025/01/23/revolutionising-innovation-africa-local-hosting/,article,/2025/01/23/revolutionising-innovation-africa-local-hosting/,preserve,pending,
https://onixdatacentres.com/2025/02/04/the-true-cost-of-downtime/,/2025/02/04/the-true-cost-of-downtime/,article,/2025/02/04/the-true-cost-of-downtime/,preserve,pending,
https://onixdatacentres.com/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,article,/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,preserve,pending,
https://onixdatacentres.com/2025/03/11/africas-tech-industry-challenges/,/2025/03/11/africas-tech-industry-challenges/,article,/2025/03/11/africas-tech-industry-challenges/,preserve,pending,
https://onixdatacentres.com/2025/03/25/africa-digital-infrastructure/,/2025/03/25/africa-digital-infrastructure/,article,/2025/03/25/africa-digital-infrastructure/,preserve,pending,
https://onixdatacentres.com/2025/04/08/powering-smart-cities-africa-infrastructure/,/2025/04/08/powering-smart-cities-africa-infrastructure/,article,/2025/04/08/powering-smart-cities-africa-infrastructure/,preserve,pending,
https://onixdatacentres.com/2025/04/24/blueprint-digital-africa-gitex-africa/,/2025/04/24/blueprint-digital-africa-gitex-africa/,article,/2025/04/24/blueprint-digital-africa-gitex-africa/,preserve,pending,
https://onixdatacentres.com/2025/05/06/linx-accra-onix/,/2025/05/06/linx-accra-onix/,article,/2025/05/06/linx-accra-onix/,preserve,pending,
https://onixdatacentres.com/2025/05/28/carrier-neutral-data-centres/,/2025/05/28/carrier-neutral-data-centres/,article,/2025/05/28/carrier-neutral-data-centres/,preserve,pending,
https://onixdatacentres.com/2025/06/10/data-centres-decarbonisation-africa/,/2025/06/10/data-centres-decarbonisation-africa/,article,/2025/06/10/data-centres-decarbonisation-africa/,preserve,pending,
https://onixdatacentres.com/2025/07/02/reflections-pan-african-data-centre-conference/,/2025/07/02/reflections-pan-african-data-centre-conference/,article,/2025/07/02/reflections-pan-african-data-centre-conference/,preserve,pending,
https://onixdatacentres.com/2025/07/07/linx-accra-launches-ghana/,/2025/07/07/linx-accra-launches-ghana/,article,/2025/07/07/linx-accra-launches-ghana/,preserve,pending,
https://onixdatacentres.com/2025/07/22/gctu-students-explore-onix-data-centre/,/2025/07/22/gctu-students-explore-onix-data-centre/,article,/2025/07/22/gctu-students-explore-onix-data-centre/,preserve,pending,
https://onixdatacentres.com/2025/08/05/ghana-data-centre-powerhouse/,/2025/08/05/ghana-data-centre-powerhouse/,article,/2025/08/05/ghana-data-centre-powerhouse/,preserve,pending,
https://onixdatacentres.com/2025/08/28/hidden-latency-ghana/,/2025/08/28/hidden-latency-ghana/,article,/2025/08/28/hidden-latency-ghana/,preserve,pending,
https://onixdatacentres.com/2025/09/09/digital-africa-summit-ghana-2025/,/2025/09/09/digital-africa-summit-ghana-2025/,article,/2025/09/09/digital-africa-summit-ghana-2025/,preserve,pending,
https://onixdatacentres.com/2025/09/30/local-infrastructure-future-gaming/,/2025/09/30/local-infrastructure-future-gaming/,article,/2025/09/30/local-infrastructure-future-gaming/,preserve,pending,
https://onixdatacentres.com/2025/10/13/ghana-afts-accra-2025/,/2025/10/13/ghana-afts-accra-2025/,article,/2025/10/13/ghana-afts-accra-2025/,preserve,pending,
https://onixdatacentres.com/2025/10/14/linx-accra-live-at-onix/,/2025/10/14/linx-accra-live-at-onix/,article,/2025/10/14/linx-accra-live-at-onix/,preserve,pending,
https://onixdatacentres.com/2025/10/28/africa-digital-cloud-resilience/,/2025/10/28/africa-digital-cloud-resilience/,article,/2025/10/28/africa-digital-cloud-resilience/,preserve,pending,
https://onixdatacentres.com/2025/11/13/what-is-peering/,/2025/11/13/what-is-peering/,article,/2025/11/13/what-is-peering/,preserve,pending,
https://onixdatacentres.com/2025/12/08/returnee-onix-data-centre-business/,/2025/12/08/returnee-onix-data-centre-business/,article,/2025/12/08/returnee-onix-data-centre-business/,preserve,pending,
https://onixdatacentres.com/2026/01/07/2026-the-year-reliability-becomes-strategy/,/2026/01/07/2026-the-year-reliability-becomes-strategy/,article,/2026/01/07/2026-the-year-reliability-becomes-strategy/,preserve,pending,
https://onixdatacentres.com/2026/01/20/sla-vs-reality-data-centres-uptime/,/2026/01/20/sla-vs-reality-data-centres-uptime/,article,/2026/01/20/sla-vs-reality-data-centres-uptime/,preserve,pending,
https://onixdatacentres.com/2026/02/05/composable-dynamic-infrastructure/,/2026/02/05/composable-dynamic-infrastructure/,article,/2026/02/05/composable-dynamic-infrastructure/,preserve,pending,
https://onixdatacentres.com/2026/03/09/ghana-independence-69-digital-nation/,/2026/03/09/ghana-independence-69-digital-nation/,article,/2026/03/09/ghana-independence-69-digital-nation/,preserve,pending,
https://onixdatacentres.com/2026/03/31/africas-ai-future-infrastructure/,/2026/03/31/africas-ai-future-infrastructure/,article,/2026/03/31/africas-ai-future-infrastructure/,preserve,pending,
https://onixdatacentres.com/2026/04/14/war-conflict-revealing-about-cloud/,/2026/04/14/war-conflict-revealing-about-cloud/,article,/2026/04/14/war-conflict-revealing-about-cloud/,preserve,pending,
https://onixdatacentres.com/2026/04/28/infrastructure-decisions-are-becoming-timing-decisions/,/2026/04/28/infrastructure-decisions-are-becoming-timing-decisions/,article,/2026/04/28/infrastructure-decisions-are-becoming-timing-decisions/,preserve,pending,
https://onixdatacentres.com/2026/05/19/your-server-room-is-not-a-data-centre/,/2026/05/19/your-server-room-is-not-a-data-centre/,article,/2026/05/19/your-server-room-is-not-a-data-centre/,preserve,pending,
https://onixdatacentres.com/2026/06/02/health-data-sovereignty-ghana-digital-health-infrastructure/,/2026/06/02/health-data-sovereignty-ghana-digital-health-infrastructure/,article,/2026/06/02/health-data-sovereignty-ghana-digital-health-infrastructure/,preserve,pending,
https://onixdatacentres.com/about-us/,/about-us/,page,/about-us/,preserve,pending,
https://onixdatacentres.com/author/onixdc/,/author/onixdc/,author,/author/onixdc/,preserve,pending,
https://onixdatacentres.com/author/samuel/,/author/samuel/,author,/author/samuel/,preserve,pending,
https://onixdatacentres.com/author/yinka/,/author/yinka/,author,/author/yinka/,preserve,pending,
https://onixdatacentres.com/blog/,/blog/,page,/blog/,preserve,pending,
https://onixdatacentres.com/category/africa/,/category/africa/,taxonomy,/category/africa/,preserve,pending,
https://onixdatacentres.com/category/blog/,/category/blog/,taxonomy,/category/blog/,preserve,pending,
https://onixdatacentres.com/category/data/,/category/data/,taxonomy,/category/data/,preserve,pending,
https://onixdatacentres.com/category/news/,/category/news/,taxonomy,/category/news/,preserve,pending,
https://onixdatacentres.com/category/technology/,/category/technology/,taxonomy,/category/technology/,preserve,pending,
https://onixdatacentres.com/category/uncategorized/,/category/uncategorized/,taxonomy,/category/uncategorized/,preserve,pending,
https://onixdatacentres.com/contact-us/,/contact-us/,page,/contact-us/,preserve,pending,
https://onixdatacentres.com/elementor-9089/,/elementor-9089/,page,/elementor-9089/,preserve,pending,
https://onixdatacentres.com/fr/author/onixdc/,/fr/author/onixdc/,page,/fr/author/onixdc/,preserve,pending,
https://onixdatacentres.com/fr/author/samuel/,/fr/author/samuel/,page,/fr/author/samuel/,preserve,pending,
https://onixdatacentres.com/fr/author/yinka/,/fr/author/yinka/,page,/fr/author/yinka/,preserve,pending,
https://onixdatacentres.com/fr/home-francais/,/fr/home-francais/,page,/fr/home-francais/,preserve,pending,
https://onixdatacentres.com/home-english/,/home-english/,page,/home-english/,preserve,pending,
https://onixdatacentres.com/home/cfo-roi/,/home/cfo-roi/,page,/home/cfo-roi/,preserve,pending,
https://onixdatacentres.com/home/cfo/,/home/cfo/,page,/home/cfo/,preserve,pending,
https://onixdatacentres.com/home/contact-us/,/home/contact-us/,page,/home/contact-us/,preserve,pending,
https://onixdatacentres.com/home/eric-tenkorang/,/home/eric-tenkorang/,page,/home/eric-tenkorang/,preserve,pending,
https://onixdatacentres.com/home/feedback/,/home/feedback/,page,/home/feedback/,preserve,pending,
https://onixdatacentres.com/home/finance/,/home/finance/,page,/home/finance/,preserve,pending,
https://onixdatacentres.com/home/infrastructure/,/home/infrastructure/,page,/home/infrastructure/,preserve,pending,
https://onixdatacentres.com/home/o-services/,/home/o-services/,page,/home/o-services/,preserve,pending,
https://onixdatacentres.com/home/onix-team-contact/,/home/onix-team-contact/,page,/home/onix-team-contact/,preserve,pending,
https://onixdatacentres.com/home/our-solutions/,/home/our-solutions/,page,/home/our-solutions/,preserve,pending,
https://onixdatacentres.com/home/staging123/,/home/staging123/,page,/home/staging123/,preserve,pending,
https://onixdatacentres.com/home/sustainability/,/home/sustainability/,page,/home/sustainability/,preserve,pending,
https://onixdatacentres.com/home/virtual-machine/,/home/virtual-machine/,page,/home/virtual-machine/,preserve,pending,
https://onixdatacentres.com/linxaccra/,/linxaccra/,page,/linxaccra/,preserve,pending,
https://onixdatacentres.com/news/,/news/,page,/news/,preserve,pending,
https://onixdatacentres.com/o-home/,/o-home/,page,/o-home/,preserve,pending,
https://onixdatacentres.com/o-home/bretttucker/,/o-home/bretttucker/,page,/o-home/bretttucker/,preserve,pending,
https://onixdatacentres.com/o-home/certification/,/o-home/certification/,page,/o-home/certification/,preserve,pending,
https://onixdatacentres.com/o-home/edemscott/,/o-home/edemscott/,page,/o-home/edemscott/,preserve,pending,
https://onixdatacentres.com/o-home/home-v2/,/o-home/home-v2/,page,/o-home/home-v2/,preserve,pending,
https://onixdatacentres.com/o-home/kevinopata/,/o-home/kevinopata/,page,/o-home/kevinopata/,preserve,pending,
https://onixdatacentres.com/o-home/leonardmckinlay/,/o-home/leonardmckinlay/,page,/o-home/leonardmckinlay/,preserve,pending,
https://onixdatacentres.com/o-home/mamadoukebe/,/o-home/mamadoukebe/,page,/o-home/mamadoukebe/,preserve,pending,
https://onixdatacentres.com/o-home/michaelnahon/,/o-home/michaelnahon/,other,/o-home/michaelnahon/,preserve,pending,HTTP error
