component_location,label,destination,internal_external,target,background_colour,text_colour,border_colour,border_width,border_radius,width_behaviour,min_height,padding_h,padding_v,font_family,font_size,font_weight,line_height,letter_spacing,text_transform,icon,icon_position,hover_background,hover_text,hover_border,transition,desktop,mobile,variant_key
header,Client support,https://service.onixdatacentres.com/,external,_blank,#ec0223,#ffffff,#ffffff,0px,0px,auto,39px,24px,12px,Poppins,15px,400,15px,normal,none,no,n/a,#c9021e,#ffffff,#ffffff,colors 150ms,visible,visible,header-support
hero_slide_1,About Us,/about-us/,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,16px,400,16px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,white CTA on video,poster + white CTA,solid-white
hero_slide_2,Our Solutions,/home/our-solutions/,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,16px,400,16px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,white CTA on video,poster + white CTA,solid-white
hero_slide_3,Learn More,/home/our-solutions/,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,16px,400,16px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,white CTA on video,poster + white CTA,solid-white
hero_slide_4,Learn More,/home/our-solutions/,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,16px,400,16px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,white CTA on video,poster + white CTA,solid-white
who_we_are,Learn more,/about-us/,internal,same tab,#ec0223,#ffffff,#ec0223,2px,0px,228px,52px,55px,16px,Poppins,16px,400,16px,normal,capitalize,arrow right,after,transparent,#ec0223,#ec0223,colors 150ms,red filled,stacked,primary-red
solutions_card,Learn More,/home/our-solutions#anchor,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,15px,400,22.4px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,navy card bg,white card CTA,solid-white
infrastructure_card,Learn More,various internal,internal,same tab,#ffffff,#1c244b,transparent,0px,0px,auto,auto,25px,12px,Poppins,15px,400,22.4px,normal,none,no,n/a,#ffffff/90,#1c244b,transparent,colors 150ms,navy card bg,white card CTA,solid-white
latest_news,Latest News,/news/,internal,same tab,#1c244b,#ffffff,transparent,0px,0px,149px,46px,30px,15px,Poppins,16px,500,16px,normal,none,no,n/a,#ec0223,#ffffff,transparent,colors 150ms,navy pill,navy pill,navy-pill
contact_cta,Contact us,/contact-us/,internal,same tab,#ec0223,#ffffff,#ec0223,2px,0px,228px,52px,55px,16px,Poppins,16px,400,16px,normal,capitalize,arrow right,after,transparent,#ec0223,#ec0223,colors 150ms,red filled,centered,primary-red
